RESULT,SCORE,PATH
FAILURE,1,left
FAILURE,1,middle
FAILURE,1,right
FAILURE,2,"left,left"
FAILURE,1,"left,middle"
FAILURE,1,"left,right"
FAILURE,2,"middle,left"
FAILURE,1,"middle,middle"
FAILURE,1,"middle,right"
FAILURE,2,"right,left"
FAILURE,1,"right,middle"
FAILURE,1,"right,right"
FAILURE,3,"left,left,left"
FAILURE,2,"left,left,middle"
FAILURE,2,"left,left,right"
FAILURE,1,"left,middle,left"
FAILURE,1,"left,middle,middle"
FAILURE,1,"left,middle,right"
FAILURE,1,"left,right,left"
FAILURE,1,"left,right,middle"
FAILURE,1,"left,right,right"
FAILURE,3,"middle,left,left"
FAILURE,2,"middle,left,middle"
FAILURE,2,"middle,left,right"
FAILURE,1,"middle,middle,left"
FAILURE,1,"middle,middle,middle"
FAILURE,1,"middle,middle,right"
FAILURE,1,"middle,right,left"
FAILURE,1,"middle,right,middle"
FAILURE,1,"middle,right,right"
FAILURE,3,"right,left,left"
FAILURE,2,"right,left,middle"
FAILURE,2,"right,left,right"
FAILURE,1,"right,middle,left"
FAILURE,1,"right,middle,middle"
FAILURE,1,"right,middle,right"
FAILURE,1,"right,right,left"
FAILURE,1,"right,right,middle"
FAILURE,1,"right,right,right"
FAILURE,4,"left,left,left,left"
FAILURE,4,"left,left,left,middle"
FAILURE,4,"left,left,left,right"
FAILURE,2,"left,left,middle,left"
FAILURE,2,"left,left,middle,middle"
FAILURE,2,"left,left,middle,right"
FAILURE,2,"left,left,right,left"
FAILURE,2,"left,left,right,middle"
FAILURE,2,"left,left,right,right"
FAILURE,1,"left,middle,left,left"
FAILURE,1,"left,middle,left,middle"
FAILURE,1,"left,middle,left,right"
FAILURE,1,"left,middle,middle,left"
FAILURE,1,"left,middle,middle,middle"
FAILURE,1,"left,middle,middle,right"
FAILURE,1,"left,middle,right,left"
FAILURE,1,"left,middle,right,middle"
FAILURE,1,"left,middle,right,right"
FAILURE,1,"left,right,left,left"
FAILURE,1,"left,right,left,middle"
FAILURE,1,"left,right,left,right"
FAILURE,1,"left,right,middle,left"
FAILURE,1,"left,right,middle,middle"
FAILURE,1,"left,right,middle,right"
FAILURE,1,"left,right,right,left"
FAILURE,1,"left,right,right,middle"
FAILURE,1,"left,right,right,right"
FAILURE,4,"middle,left,left,left"
FAILURE,4,"middle,left,left,middle"
FAILURE,4,"middle,left,left,right"
FAILURE,2,"middle,left,middle,left"
FAILURE,2,"middle,left,middle,middle"
FAILURE,2,"middle,left,middle,right"
FAILURE,2,"middle,left,right,left"
FAILURE,2,"middle,left,right,middle"
FAILURE,2,"middle,left,right,right"
FAILURE,1,"middle,middle,left,left"
FAILURE,1,"middle,middle,left,middle"
FAILURE,1,"middle,middle,left,right"
FAILURE,1,"middle,middle,middle,left"
FAILURE,1,"middle,middle,middle,middle"
FAILURE,1,"middle,middle,middle,right"
FAILURE,1,"middle,middle,right,left"
FAILURE,1,"middle,middle,right,middle"
FAILURE,1,"middle,middle,right,right"
FAILURE,1,"middle,right,left,left"
FAILURE,1,"middle,right,left,middle"
FAILURE,1,"middle,right,left,right"
FAILURE,1,"middle,right,middle,left"
FAILURE,1,"middle,right,middle,middle"
FAILURE,1,"middle,right,middle,right"
FAILURE,1,"middle,right,right,left"
FAILURE,1,"middle,right,right,middle"
FAILURE,1,"middle,right,right,right"
FAILURE,4,"right,left,left,left"
FAILURE,4,"right,left,left,middle"
FAILURE,4,"right,left,left,right"
FAILURE,2,"right,left,middle,left"
FAILURE,2,"right,left,middle,middle"
FAILURE,2,"right,left,middle,right"
FAILURE,2,"right,left,right,left"
FAILURE,2,"right,left,right,middle"
FAILURE,2,"right,left,right,right"
FAILURE,1,"right,middle,left,left"
FAILURE,1,"right,middle,left,middle"
FAILURE,1,"right,middle,left,right"
FAILURE,1,"right,middle,middle,left"
FAILURE,1,"right,middle,middle,middle"
FAILURE,1,"right,middle,middle,right"
FAILURE,1,"right,middle,right,left"
FAILURE,1,"right,middle,right,middle"
FAILURE,1,"right,middle,right,right"
FAILURE,1,"right,right,left,left"
FAILURE,1,"right,right,left,middle"
FAILURE,1,"right,right,left,right"
FAILURE,1,"right,right,middle,left"
FAILURE,1,"right,right,middle,middle"
FAILURE,1,"right,right,middle,right"
FAILURE,1,"right,right,right,left"
FAILURE,1,"right,right,right,middle"
FAILURE,1,"right,right,right,right"
FAILURE,5,"left,left,left,left,left"
FAILURE,4,"left,left,left,left,middle"
FAILURE,4,"left,left,left,left,right"
FAILURE,5,"left,left,left,middle,left"
FAILURE,4,"left,left,left,middle,middle"
FAILURE,4,"left,left,left,middle,right"
FAILURE,5,"left,left,left,right,left"
FAILURE,4,"left,left,left,right,middle"
FAILURE,4,"left,left,left,right,right"
FAILURE,2,"left,left,middle,left,left"
FAILURE,2,"left,left,middle,left,middle"
FAILURE,2,"left,left,middle,left,right"
FAILURE,2,"left,left,middle,middle,left"
FAILURE,2,"left,left,middle,middle,middle"
FAILURE,2,"left,left,middle,middle,right"
FAILURE,2,"left,left,middle,right,left"
FAILURE,2,"left,left,middle,right,middle"
FAILURE,2,"left,left,middle,right,right"
FAILURE,2,"left,left,right,left,left"
FAILURE,2,"left,left,right,left,middle"
FAILURE,2,"left,left,right,left,right"
FAILURE,2,"left,left,right,middle,left"
FAILURE,2,"left,left,right,middle,middle"
FAILURE,2,"left,left,right,middle,right"
FAILURE,2,"left,left,right,right,left"
FAILURE,2,"left,left,right,right,middle"
FAILURE,2,"left,left,right,right,right"
FAILURE,1,"left,middle,left,left,left"
FAILURE,1,"left,middle,left,left,middle"
FAILURE,1,"left,middle,left,left,right"
FAILURE,1,"left,middle,left,middle,left"
FAILURE,1,"left,middle,left,middle,middle"
FAILURE,1,"left,middle,left,middle,right"
FAILURE,1,"left,middle,left,right,left"
FAILURE,1,"left,middle,left,right,middle"
FAILURE,1,"left,middle,left,right,right"
FAILURE,1,"left,middle,middle,left,left"
FAILURE,1,"left,middle,middle,left,middle"
FAILURE,1,"left,middle,middle,left,right"
FAILURE,1,"left,middle,middle,middle,left"
FAILURE,1,"left,middle,middle,middle,middle"
FAILURE,1,"left,middle,middle,middle,right"
FAILURE,1,"left,middle,middle,right,left"
FAILURE,1,"left,middle,middle,right,middle"
FAILURE,1,"left,middle,middle,right,right"
FAILURE,1,"left,middle,right,left,left"
FAILURE,1,"left,middle,right,left,middle"
FAILURE,1,"left,middle,right,left,right"
FAILURE,1,"left,middle,right,middle,left"
FAILURE,1,"left,middle,right,middle,middle"
FAILURE,1,"left,middle,right,middle,right"
FAILURE,1,"left,middle,right,right,left"
FAILURE,1,"left,middle,right,right,middle"
FAILURE,1,"left,middle,right,right,right"
FAILURE,1,"left,right,left,left,left"
FAILURE,1,"left,right,left,left,middle"
FAILURE,1,"left,right,left,left,right"
FAILURE,1,"left,right,left,middle,left"
FAILURE,1,"left,right,left,middle,middle"
FAILURE,1,"left,right,left,middle,right"
FAILURE,1,"left,right,left,right,left"
FAILURE,1,"left,right,left,right,middle"
FAILURE,1,"left,right,left,right,right"
FAILURE,1,"left,right,middle,left,left"
FAILURE,1,"left,right,middle,left,middle"
FAILURE,1,"left,right,middle,left,right"
FAILURE,1,"left,right,middle,middle,left"
FAILURE,1,"left,right,middle,middle,middle"
FAILURE,1,"left,right,middle,middle,right"
FAILURE,1,"left,right,middle,right,left"
FAILURE,1,"left,right,middle,right,middle"
FAILURE,1,"left,right,middle,right,right"
FAILURE,1,"left,right,right,left,left"
FAILURE,1,"left,right,right,left,middle"
FAILURE,1,"left,right,right,left,right"
FAILURE,1,"left,right,right,middle,left"
FAILURE,1,"left,right,right,middle,middle"
FAILURE,1,"left,right,right,middle,right"
FAILURE,1,"left,right,right,right,left"
FAILURE,1,"left,right,right,right,middle"
FAILURE,1,"left,right,right,right,right"
FAILURE,5,"middle,left,left,left,left"
FAILURE,4,"middle,left,left,left,middle"
FAILURE,4,"middle,left,left,left,right"
FAILURE,5,"middle,left,left,middle,left"
FAILURE,4,"middle,left,left,middle,middle"
FAILURE,4,"middle,left,left,middle,right"
FAILURE,5,"middle,left,left,right,left"
FAILURE,4,"middle,left,left,right,middle"
FAILURE,4,"middle,left,left,right,right"
FAILURE,2,"middle,left,middle,left,left"
FAILURE,2,"middle,left,middle,left,middle"
FAILURE,2,"middle,left,middle,left,right"
FAILURE,2,"middle,left,middle,middle,left"
FAILURE,2,"middle,left,middle,middle,middle"
FAILURE,2,"middle,left,middle,middle,right"
FAILURE,2,"middle,left,middle,right,left"
FAILURE,2,"middle,left,middle,right,middle"
FAILURE,2,"middle,left,middle,right,right"
